"Raleigh Performance Road 24w 2016 - Road Bike",http://www.tredz.co.uk/.Raleigh-Performance-Road-24w-2016-Road-Bike_75632.htm,360.00,"Lightweight 6061 aluminium alloy frame with junior proportion geometry"
"Merida Speeder 20 2017 - Road Bike",http://www.tredz.co.uk/.Merida-Speeder-20-2017-Road-Bike_96566.htm,400.00,"6061 Double butted aluminium frame with mudguard and rack mounts"
"Specialized Allez Junior 27.5&quot;  2017 - Road Bike",http://www.tredz.co.uk/.Specialized-Allez-Junior-27-5-2017-Road-Bike_73387.htm,400.00,"Specialized A1 Premium Aluminium, fully manipulated tubing w/ smooth welds, 1-1/8"" lower bearing"
"Frog Road 70 26w 2017 - Road Bike",http://www.tredz.co.uk/.Frog-Road-70-26w-2017-Road-Bike_75479.htm,465.00,"432mm (17"") Aluminium Alloy 6061 Frog Frame"
"Merida Ride Juliet 100  Womens  2016 - Road Bike",http://www.tredz.co.uk/.Merida-Ride-Juliet-100-Womens-2016-Road-Bike_81934.htm,479.99,"6066 Triple butted and formed aluminium frame with tapered head tube, smooth welding, and internal cable routing"
"Liv Thrive 3 Womens  2017 - Flat Bar Road Bike",http://www.tredz.co.uk/.Liv-Thrive-3-Womens-2017-Flat-Bar-Road-Bike_97910.htm,525.00,"ALUXX-Grade Aluminium"
"Raleigh RXW Elite Womens 2016 - Road Bike",http://www.tredz.co.uk/.Raleigh-RXW-Elite-Womens-2016-Road-Bike_83536.htm,549.99,"Ladies specific RXW butted  hydroformed aluminium alloy"
"Genesis Beta Road 26W 2016 - Road Bike",http://www.tredz.co.uk/.Genesis-Beta-Road-26W-2016-Road-Bike_85051.htm,549.99,"ALX7 6061 Double-Butted Aluminium"
"Merida Speeder 100 2017 - Road Bike",http://www.tredz.co.uk/.Merida-Speeder-100-2017-Road-Bike_95931.htm,550.00,"Lightweight 6066 Triple butted and Hydroformed aluminium frame with smooth welding, and internal cable routing.  Fitted with mudguard and rack mounts"
"Merida Speeder Juliet 100 Womens 2017 - Road Bike",http://www.tredz.co.uk/.Merida-Speeder-Juliet-100-Womens-2017-Road-Bike_95932.htm,550.00,"Lightweight 6066 Triple butted and Hydroformed aluminium frame with smooth welding, and internal cable routing.  Fitted with mudguard and rack mounts"
